,w,n_node,tiles,time
0,2,220,10,0.004793643951416016
1,2,220,10,0.0039014816284179688
2,2,220,10,0.0030007362365722656
3,2,220,10,0.0029897689819335938
4,2,220,10,0.002990245819091797
5,2,220,10,0.003983259201049805
6,2,220,10,0.002989530563354492
7,2,220,10,0.0029909610748291016
8,2,220,10,0.0031273365020751953
9,2,220,10,0.0030012130737304688
10,2,220,10,0.00319671630859375
11,2,220,10,0.00398564338684082
12,2,220,10,0.0029287338256835938
13,2,220,10,0.0029897689819335938
14,2,220,10,0.0029900074005126953
15,2,220,10,0.0042455196380615234
16,2,220,10,0.002908468246459961
17,2,220,10,0.0029897689819335938
18,2,220,10,0.0029897689819335938
19,2,220,10,0.002990245819091797
20,2,220,10,0.00299072265625
21,2,220,10,0.002989053726196289
22,2,220,10,0.002990245819091797
23,2,220,10,0.0029900074005126953
24,2,220,10,0.0029897689819335938
25,2,220,10,0.0029900074005126953
26,2,220,10,0.002990245819091797
27,2,220,10,0.0029897689819335938
28,2,220,10,0.001992464065551758
29,2,220,10,0.0029914379119873047
30,2,220,10,0.002989530563354492
31,2,220,10,0.002990245819091797
32,2,220,10,0.0030040740966796875
33,2,220,10,0.0019898414611816406
34,2,220,10,0.0029935836791992188
35,2,220,10,0.0029897689819335938
36,2,220,10,0.0029900074005126953
37,2,220,10,0.002990245819091797
38,2,220,10,0.0029897689819335938
39,2,220,10,0.0019931793212890625
40,2,220,10,0.0029900074005126953
41,2,220,10,0.001990079879760742
42,2,220,10,0.0029935836791992188
43,2,220,10,0.0032639503479003906
44,2,220,10,0.0019159317016601562
45,2,220,10,0.0029964447021484375
46,2,220,10,0.0029900074005126953
47,2,220,10,0.0019936561584472656
48,2,220,10,0.001989603042602539
49,2,220,10,0.0033371448516845703
50,2,220,10,0.002508878707885742
51,2,220,10,0.002534627914428711
52,2,220,10,0.0029935836791992188
53,2,220,10,0.0029897689819335938
54,2,220,10,0.002986431121826172
55,2,220,10,0.0029935836791992188
56,2,220,10,0.0029900074005126953
57,2,220,10,0.0019931793212890625
58,2,220,10,0.002990245819091797
59,2,220,10,0.0029900074005126953
60,2,220,10,0.003954887390136719
61,2,220,10,0.002989530563354492
62,2,220,10,0.002990245819091797
63,2,220,10,0.0029900074005126953
64,2,220,10,0.0026540756225585938
65,2,220,10,0.0027518272399902344
66,2,220,10,0.0030112266540527344
67,2,220,10,0.002895355224609375
68,2,220,10,0.002992868423461914
69,2,220,10,0.002990245819091797
70,2,220,10,0.0029900074005126953
71,2,220,10,0.0029900074005126953
72,2,220,10,0.002986431121826172
73,2,220,10,0.002993345260620117
74,2,220,10,0.002990245819091797
75,2,220,10,0.0029900074005126953
76,2,220,10,0.0029897689819335938
77,2,220,10,0.0029900074005126953
78,2,220,10,0.002990245819091797
79,2,220,10,0.0029914379119873047
80,2,220,10,0.001990079879760742
81,2,220,10,0.004449367523193359
82,2,220,10,0.0020079612731933594
83,2,220,10,0.002929210662841797
84,2,220,10,0.0031414031982421875
85,2,220,10,0.002990245819091797
86,2,220,10,0.002991199493408203
87,2,220,10,0.002988576889038086
88,2,220,10,0.002990245819091797
89,2,220,10,0.002989530563354492
90,2,220,10,0.0019927024841308594
91,2,220,10,0.004980802536010742
92,2,220,10,0.0029935836791992188
93,2,220,10,0.0029900074005126953
94,2,220,10,0.0019922256469726562
95,2,220,10,0.002991199493408203
96,2,220,10,0.0029904842376708984
97,2,220,10,0.0029892921447753906
98,2,220,10,0.0029900074005126953
99,2,220,10,0.001993417739868164
100,2,220,10,0.0029900074005126953
101,2,220,10,0.003172636032104492
102,2,220,10,0.002987384796142578
103,2,220,10,0.0020003318786621094
104,2,220,10,0.002928495407104492
105,2,220,10,0.0029900074005126953
106,2,220,10,0.0029900074005126953
107,2,220,10,0.001989603042602539
108,2,220,10,0.002993345260620117
109,2,220,10,0.002990245819091797
110,2,220,10,0.0019922256469726562
111,2,220,10,0.002991199493408203
112,2,220,10,0.0029897689819335938
113,2,220,10,0.003986835479736328
114,2,220,10,0.002997875213623047
115,2,220,10,0.002990245819091797
116,2,220,10,0.0019927024841308594
117,2,220,10,0.0029904842376708984
118,2,220,10,0.0029897689819335938
119,2,220,10,0.007681369781494141
120,2,220,10,0.0049822330474853516
121,2,220,10,0.006559133529663086
122,2,220,10,0.002984762191772461
123,2,220,10,0.0019898414611816406
124,2,220,10,0.0029935836791992188
125,2,220,10,0.0053369998931884766
126,2,220,10,0.0029897689819335938
127,2,220,10,0.0029900074005126953
128,2,220,10,0.0029866695404052734
129,2,220,10,0.0030112266540527344
130,2,220,10,0.0029897689819335938
131,2,220,10,0.0029897689819335938
132,2,220,10,0.002990245819091797
133,2,220,10,0.0039899349212646484
134,2,220,10,0.0029103755950927734
135,2,220,10,0.0029866695404052734
136,2,220,10,0.0029897689819335938
137,2,220,10,0.0039899349212646484
138,2,220,10,0.0029871463775634766
139,2,220,10,0.0029897689819335938
140,2,220,10,0.0029897689819335938
141,2,220,10,0.0029900074005126953
142,2,220,10,0.002990245819091797
143,2,220,10,0.0039920806884765625
144,2,220,10,0.0029900074005126953
145,2,220,10,0.002986907958984375
146,2,220,10,0.002990245819091797
147,2,220,10,0.0029897689819335938
148,2,220,10,0.003999233245849609
149,2,220,10,0.0029897689819335938
150,2,220,10,0.002990245819091797
151,2,220,10,0.0029900074005126953
152,2,220,10,0.0029897689819335938
153,2,220,10,0.0029900074005126953
154,2,220,10,0.002990245819091797
155,2,220,10,0.0029897689819335938
156,2,220,10,0.0029900074005126953
157,2,220,10,0.0025115013122558594
158,2,220,10,0.0029866695404052734
159,2,220,10,0.002992868423461914
160,2,220,10,0.0029900074005126953
161,2,220,10,0.002990245819091797
162,2,220,10,0.0029900074005126953
163,2,220,10,0.001989603042602539
164,2,220,10,0.002993345260620117
165,2,220,10,0.0029904842376708984
166,2,220,10,0.0029897689819335938
167,2,220,10,0.0034966468811035156
168,2,220,10,0.002039670944213867
169,2,220,10,0.0034329891204833984
170,2,220,10,0.0033278465270996094
171,2,220,10,0.0027680397033691406
172,2,220,10,0.003736257553100586
173,2,220,10,0.003443479537963867
174,2,220,10,0.0032646656036376953
175,2,220,10,0.002989530563354492
176,2,220,10,0.002997875213623047
177,2,220,10,0.0029897689819335938
178,2,220,10,0.0019931793212890625
179,2,220,10,0.0029904842376708984
180,2,220,10,0.0029900074005126953
181,2,220,10,0.0025107860565185547
182,2,220,10,0.0022673606872558594
183,2,220,10,0.0030782222747802734
184,2,220,10,0.0029087066650390625
185,2,220,10,0.0029900074005126953
186,2,220,10,0.003016233444213867
187,2,220,10,0.00292205810546875
188,2,220,10,0.0029900074005126953
189,2,220,10,0.0019931793212890625
190,2,220,10,0.002989530563354492
191,2,220,10,0.0029904842376708984
192,2,220,10,0.0029897689819335938
193,2,220,10,0.0019936561584472656
194,2,220,10,0.0029897689819335938
195,2,220,10,0.0029900074005126953
196,2,220,10,0.0029900074005126953
197,2,220,10,0.0029900074005126953
198,2,220,10,0.0019898414611816406
199,2,220,10,0.0029935836791992188
200,2,220,10,0.0029897689819335938
201,2,220,10,0.0029904842376708984
202,2,220,10,0.002989530563354492
203,2,220,10,0.002990245819091797
204,2,220,10,0.0029904842376708984
205,2,220,10,0.0019893646240234375
206,2,220,10,0.0029935836791992188
207,2,220,10,0.0029897689819335938
208,2,220,10,0.002671480178833008
209,2,220,10,0.002995014190673828
210,2,220,10,0.0029954910278320312
211,2,220,10,0.002015829086303711
212,2,220,10,0.002999544143676758
213,2,220,10,0.002989053726196289
214,2,220,10,0.001992940902709961
215,2,220,10,0.002990245819091797
216,2,220,10,0.0032334327697753906
217,2,220,10,0.0025696754455566406
218,2,220,10,0.0019466876983642578
219,2,220,10,0.001993417739868164
